Subject,Start Date,Start Time,End Date,End Time,Description
⚓ Bassa Marea (-0.72 m),2026-05-27,06:45,2026-05-27,07:15,Picco reale calcolato al centro del flesso. Livello: -0.72 m MSL.
👑 Alta Marea (-0.39 m),2026-05-27,15:00,2026-05-27,15:30,Picco reale calcolato al centro del flesso. Livello: -0.39 m MSL.
⚓ Bassa Marea (-0.51 m),2026-05-27,21:30,2026-05-27,22:00,Picco reale calcolato al centro del flesso. Livello: -0.51 m MSL.
👑 Alta Marea (-0.5 m),2026-05-28,00:00,2026-05-28,00:30,Picco reale calcolato al centro del flesso. Livello: -0.5 m MSL.
⚓ Bassa Marea (-0.69 m),2026-05-28,07:30,2026-05-28,08:00,Picco reale calcolato al centro del flesso. Livello: -0.69 m MSL.
👑 Alta Marea (-0.36 m),2026-05-28,15:00,2026-05-28,15:30,Picco reale calcolato al centro del flesso. Livello: -0.36 m MSL.
⚓ Bassa Marea (-0.73 m),2026-05-29,07:45,2026-05-29,08:15,Picco reale calcolato al centro del flesso. Livello: -0.73 m MSL.
👑 Alta Marea (-0.38 m),2026-05-29,15:00,2026-05-29,15:30,Picco reale calcolato al centro del flesso. Livello: -0.38 m MSL.
⚓ Bassa Marea (-0.59 m),2026-05-29,22:45,2026-05-29,23:15,Picco reale calcolato al centro del flesso. Livello: -0.59 m MSL.
👑 Alta Marea (-0.58 m),2026-05-30,01:30,2026-05-30,02:00,Picco reale calcolato al centro del flesso. Livello: -0.58 m MSL.
⚓ Bassa Marea (-0.71 m),2026-05-30,08:00,2026-05-30,08:30,Picco reale calcolato al centro del flesso. Livello: -0.71 m MSL.
👑 Alta Marea (-0.33 m),2026-05-30,15:45,2026-05-30,16:15,Picco reale calcolato al centro del flesso. Livello: -0.33 m MSL.
⚓ Bassa Marea (-0.56 m),2026-05-30,23:00,2026-05-30,23:30,Picco reale calcolato al centro del flesso. Livello: -0.56 m MSL.
